No.overall,No. inseason,Title,Directed by,Written by,Original air date,Prod.code,U.S. viewers(millions),episode_url,Season Number
1,1,"""Welcome to the Hellmouth""",Charles Martin Smith,Joss Whedon,"March 10, 1997",4V01,4.59[2],https://en.wikipedia.org/wiki/Welcome_to_the_Hellmouth,1
2,2,"""The Harvest""",John T. Kretchmer,Joss Whedon,"March 10, 1997",4V02,4.59[2],https://en.wikipedia.org/wiki/The_Harvest_(Buffy_the_Vampire_Slayer),1
3,3,"""Witch""",Stephen Cragg,Dana Reston,"March 17, 1997",4V03,4.63[3],https://en.wikipedia.org/wiki/Witch_(Buffy_the_Vampire_Slayer_episode),1
4,4,"""Teacher's Pet""",Bruce Seth Green,David Greenwalt,"March 24, 1997",4V04,2.98[4],https://en.wikipedia.org/wiki/Teacher%27s_Pet_(Buffy_the_Vampire_Slayer),1
5,5,"""Never Kill a Boy on the First Date""",David Semel,Rob Des Hotel & Dean Batali,"March 31, 1997",4V05,4.09[5],https://en.wikipedia.org/wiki/Never_Kill_a_Boy_on_the_First_Date,1
6,6,"""The Pack""",Bruce Seth Green,Matt Kiene & Joe Reinkemeyer,"April 7, 1997",4V06,3.42[6],https://en.wikipedia.org/wiki/The_Pack_(Buffy_the_Vampire_Slayer),1
7,7,"""Angel""",Scott Brazil,David Greenwalt,"April 14, 1997",4V07,3.39[7],https://en.wikipedia.org/wiki/Angel_(Buffy_the_Vampire_Slayer_episode),1
8,8,"""I, Robot... You, Jane""",Stephen Posey,Ashley Gable & Thomas A. Swyden,"April 28, 1997",4V08,2.47[8],"https://en.wikipedia.org/wiki/I,_Robot..._You,_Jane",1
9,9,"""The Puppet Show""",Ellen S. Pressman,Rob Des Hotel & Dean Batali,"May 5, 1997",4V09,2.56[9],https://en.wikipedia.org/wiki/The_Puppet_Show_(Buffy_the_Vampire_Slayer),1
10,10,"""Nightmares""",Bruce Seth Green,Story by : Joss WhedonTeleplay by : David Greenwalt,"May 12, 1997",4V10,3.47[10],https://en.wikipedia.org/wiki/Nightmares_(Buffy_the_Vampire_Slayer),1
11,11,"""Out of Mind, Out of Sight""",Reza Badiyi,Story by : Joss WhedonTeleplay by : Ashley Gable & Thomas A. Swyden,"May 19, 1997",4V11,3.36[11],"https://en.wikipedia.org/wiki/Out_of_Mind,_Out_of_Sight_(Buffy_the_Vampire_Slayer)",1
12,12,"""Prophecy Girl""",Joss Whedon,Joss Whedon,"June 2, 1997",4V12,3.97[12],https://en.wikipedia.org/wiki/Prophecy_Girl,1
13,1,"""When She Was Bad""",Joss Whedon,Joss Whedon,"September 15, 1997",5V01,4.37[13],https://en.wikipedia.org/wiki/When_She_Was_Bad,2
14,2,"""Some Assembly Required""",Bruce Seth Green,Ty King,"September 22, 1997",5V02,4.42[14],https://en.wikipedia.org/wiki/Some_Assembly_Required_(Buffy_the_Vampire_Slayer),2
15,3,"""School Hard""",John T. Kretchmer,Story by : Joss Whedon & David GreenwaltTeleplay by : David Greenwalt,"September 29, 1997",5V03,4.86[15],https://en.wikipedia.org/wiki/School_Hard,2
